REGION,FORECAST_DATE,MODEL1,MODEL2,MODEL3,MODEL4,MODEL5,ACTUALORDERUNIT,CREATED_DATE,UPDATED_DATE
EMEA,25-07-2024 05:00,118,117,107,133,,,25-07-2024,25-07-2024
EMEA,25-07-2024 06:00,233,232,230,175,,,25-07-2024,25-07-2024
EMEA,25-07-2024 07:00,363,368,431,219,,,25-07-2024,25-07-2024
EMEA,25-07-2024 08:00,731,714,659,263,,,25-07-2024,25-07-2024
EMEA,25-07-2024 09:00,931,928,889,304,,,25-07-2024,25-07-2024
EMEA,25-07-2024 10:00,1125,1112,1001,339,,,25-07-2024,25-07-2024
EMEA,25-07-2024 11:00,1075,1074,999,365,,,25-07-2024,25-07-2024
EMEA,25-07-2024 12:00,1083,1092,999,382,,,25-07-2024,25-07-2024
EMEA,25-07-2024 13:00,973,990,1042,388,,,25-07-2024,25-07-2024
EMEA,25-07-2024 14:00,1220,1209,1090,382,,,25-07-2024,25-07-2024
EMEA,25-07-2024 15:00,863,873,947,366,,,25-07-2024,25-07-2024
EMEA,25-07-2024 16:00,744,718,744,340,,,25-07-2024,25-07-2024
EMEA,25-07-2024 17:00,543,547,505,307,,,25-07-2024,25-07-2024
EMEA,25-07-2024 18:00,342,344,317,269,,,25-07-2024,25-07-2024
EMEA,25-07-2024 19:00,285,279,265,229,,,25-07-2024,25-07-2024
EMEA,25-07-2024 20:00,191,196,206,188,,,25-07-2024,25-07-2024
EMEA,25-07-2024 21:00,135,178,169,150,,,25-07-2024,25-07-2024
EMEA,25-07-2024 22:00,79,83,117,117,,,25-07-2024,25-07-2024
EMEA,25-07-2024 23:00,35,46,87,89,,,25-07-2024,25-07-2024
EMEA,26-07-2024 00:00,29,39,51,12,,,25-07-2024,25-07-2024
EMEA,26-07-2024 01:00,39,38,53,19,,,25-07-2024,25-07-2024
EMEA,26-07-2024 02:00,18,19,52,33,,,25-07-2024,25-07-2024
EMEA,26-07-2024 03:00,27,27,52,54,,,25-07-2024,25-07-2024
EMEA,26-07-2024 04:00,73,72,52,83,,,25-07-2024,25-07-2024
EMEA,26-07-2024 05:00,174,147,97,117,,,25-07-2024,25-07-2024
EMEA,26-07-2024 06:00,263,278,220,156,,,25-07-2024,25-07-2024
EMEA,26-07-2024 07:00,436,430,414,198,,,25-07-2024,25-07-2024
EMEA,26-07-2024 08:00,554,563,640,239,,,25-07-2024,25-07-2024
EMEA,26-07-2024 09:00,767,814,870,277,,,25-07-2024,25-07-2024
EMEA,26-07-2024 10:00,953,949,982,310,,,25-07-2024,25-07-2024
EMEA,26-07-2024 11:00,881,889,980,335,,,25-07-2024,25-07-2024
EMEA,26-07-2024 12:00,898,896,980,351,,,25-07-2024,25-07-2024
EMEA,26-07-2024 13:00,969,959,1001,357,,,25-07-2024,25-07-2024
EMEA,26-07-2024 14:00,959,983,1023,351,,,25-07-2024,25-07-2024
EMEA,26-07-2024 15:00,849,848,918,336,,,25-07-2024,25-07-2024
EMEA,26-07-2024 16:00,689,687,741,312,,,25-07-2024,25-07-2024
EMEA,26-07-2024 17:00,490,497,501,281,,,25-07-2024,25-07-2024
EMEA,26-07-2024 18:00,293,301,313,245,,,25-07-2024,25-07-2024
EMEA,26-07-2024 19:00,230,240,262,207,,,25-07-2024,25-07-2024
EMEA,26-07-2024 20:00,142,147,203,169,,,25-07-2024,25-07-2024
EMEA,26-07-2024 21:00,119,125,167,134,,,25-07-2024,25-07-2024
EMEA,26-07-2024 22:00,131,127,115,103,,,25-07-2024,25-07-2024
EMEA,26-07-2024 23:00,77,75,85,78,,,25-07-2024,25-07-2024
EMEA,27-07-2024 00:00,8,17,12,10,,,25-07-2024,25-07-2024
EMEA,27-07-2024 01:00,38,34,14,15,,,25-07-2024,25-07-2024
EMEA,27-07-2024 02:00,9,16,12,26,,,25-07-2024,25-07-2024
EMEA,27-07-2024 03:00,14,14,6,45,,,25-07-2024,25-07-2024
EMEA,27-07-2024 04:00,15,14,6,70,,,25-07-2024,25-07-2024
EMEA,27-07-2024 05:00,10,10,31,101,,,25-07-2024,25-07-2024
EMEA,27-07-2024 06:00,21,19,67,137,,,25-07-2024,25-07-2024
EMEA,27-07-2024 07:00,33,34,71,175,,,25-07-2024,25-07-2024
EMEA,27-07-2024 08:00,75,74,83,213,,,25-07-2024,25-07-2024
EMEA,27-07-2024 09:00,87,87,99,248,,,25-07-2024,25-07-2024
EMEA,27-07-2024 10:00,88,89,103,279,,,25-07-2024,25-07-2024
EMEA,27-07-2024 11:00,80,81,101,302,,,25-07-2024,25-07-2024
EMEA,27-07-2024 12:00,91,90,101,317,,,25-07-2024,25-07-2024
EMEA,27-07-2024 13:00,91,91,103,322,,,25-07-2024,25-07-2024
EMEA,27-07-2024 14:00,69,69,111,317,,,25-07-2024,25-07-2024
EMEA,27-07-2024 15:00,93,93,42,303,,,25-07-2024,25-07-2024
EMEA,27-07-2024 16:00,96,96,42,281,,,25-07-2024,25-07-2024
EMEA,27-07-2024 17:00,80,81,71,252,,,25-07-2024,25-07-2024
EMEA,27-07-2024 18:00,55,56,85,219,,,25-07-2024,25-07-2024
EMEA,27-07-2024 19:00,60,59,64,184,,,25-07-2024,25-07-2024
EMEA,27-07-2024 20:00,57,57,76,150,,,25-07-2024,25-07-2024
EMEA,27-07-2024 21:00,59,67,91,118,,,25-07-2024,25-07-2024
EMEA,27-07-2024 22:00,49,49,67,90,,,25-07-2024,25-07-2024
EMEA,27-07-2024 23:00,35,32,49,67,,,25-07-2024,25-07-2024
EMEA,28-07-2024 00:00,16,15,11,10,,,25-07-2024,25-07-2024
EMEA,28-07-2024 01:00,8,7,13,13,,,25-07-2024,25-07-2024
EMEA,28-07-2024 02:00,8,7,11,22,,,25-07-2024,25-07-2024
EMEA,28-07-2024 03:00,4,4,5,38,,,25-07-2024,25-07-2024
EMEA,28-07-2024 04:00,11,11,5,60,,,25-07-2024,25-07-2024
EMEA,28-07-2024 05:00,7,7,29,87,,,25-07-2024,25-07-2024
EMEA,28-07-2024 06:00,21,21,66,118,,,25-07-2024,25-07-2024
EMEA,28-07-2024 07:00,57,56,69,152,,,25-07-2024,25-07-2024
EMEA,28-07-2024 08:00,57,60,85,186,,,25-07-2024,25-07-2024
EMEA,28-07-2024 09:00,76,78,103,218,,,25-07-2024,25-07-2024
EMEA,28-07-2024 10:00,114,102,107,246,,,25-07-2024,25-07-2024
EMEA,28-07-2024 11:00,73,82,105,267,,,25-07-2024,25-07-2024
EMEA,28-07-2024 12:00,103,94,105,281,,,25-07-2024,25-07-2024
EMEA,28-07-2024 13:00,111,104,107,285,,,25-07-2024,25-07-2024
EMEA,28-07-2024 14:00,79,85,116,281,,,25-07-2024,25-07-2024
EMEA,28-07-2024 15:00,83,95,59,268,,,25-07-2024,25-07-2024
EMEA,28-07-2024 16:00,135,133,65,248,,,25-07-2024,25-07-2024
EMEA,28-07-2024 17:00,72,83,102,222,,,25-07-2024,25-07-2024
EMEA,28-07-2024 18:00,30,44,116,193,,,25-07-2024,25-07-2024
EMEA,28-07-2024 19:00,51,72,99,162,,,25-07-2024,25-07-2024
EMEA,28-07-2024 20:00,218,197,110,131,,,25-07-2024,25-07-2024
EMEA,28-07-2024 21:00,610,554,125,103,,,25-07-2024,25-07-2024
EMEA,28-07-2024 22:00,77,76,101,78,,,25-07-2024,25-07-2024
EMEA,28-07-2024 23:00,38,40,79,59,,,25-07-2024,25-07-2024
EMEA,29-07-2024 00:00,16,20,63,38,,,25-07-2024,25-07-2024
EMEA,29-07-2024 01:00,99,91,65,51,,,25-07-2024,25-07-2024
EMEA,29-07-2024 02:00,28,31,60,71,,,25-07-2024,25-07-2024
EMEA,29-07-2024 03:00,41,41,60,98,,,25-07-2024,25-07-2024
EMEA,29-07-2024 04:00,20,23,60,133,,,25-07-2024,25-07-2024
EMEA,29-07-2024 05:00,86,87,99,174,,,25-07-2024,25-07-2024
EMEA,29-07-2024 06:00,209,209,224,219,,,25-07-2024,25-07-2024
EMEA,29-07-2024 07:00,415,424,412,266,,,25-07-2024,25-07-2024
EMEA,29-07-2024 08:00,728,722,638,312,,,25-07-2024,25-07-2024
EMEA,29-07-2024 09:00,932,931,868,355,,,25-07-2024,25-07-2024
EMEA,29-07-2024 10:00,961,960,961,391,,,25-07-2024,25-07-2024
EMEA,29-07-2024 11:00,974,969,943,419,,,25-07-2024,25-07-2024
EMEA,29-07-2024 12:00,974,974,943,436,,,25-07-2024,25-07-2024
EMEA,29-07-2024 13:00,1147,1129,1013,441,,,25-07-2024,25-07-2024
EMEA,29-07-2024 14:00,967,978,1035,435,,,25-07-2024,25-07-2024
EMEA,29-07-2024 15:00,884,889,895,418,,,25-07-2024,25-07-2024
EMEA,29-07-2024 16:00,648,663,692,391,,,25-07-2024,25-07-2024
EMEA,29-07-2024 17:00,448,446,453,357,,,25-07-2024,25-07-2024
EMEA,29-07-2024 18:00,252,252,293,317,,,25-07-2024,25-07-2024
EMEA,29-07-2024 19:00,247,254,242,274,,,25-07-2024,25-07-2024
EMEA,29-07-2024 20:00,194,197,188,231,,,25-07-2024,25-07-2024
EMEA,29-07-2024 21:00,154,156,150,190,,,25-07-2024,25-07-2024
EMEA,29-07-2024 22:00,108,108,103,154,,,25-07-2024,25-07-2024
EMEA,29-07-2024 23:00,66,65,73,122,,,25-07-2024,25-07-2024
EMEA,30-07-2024 00:00,45,45,55,30,,,25-07-2024,25-07-2024
EMEA,30-07-2024 01:00,24,26,57,41,,,25-07-2024,25-07-2024
EMEA,30-07-2024 02:00,41,38,58,60,,,25-07-2024,25-07-2024
EMEA,30-07-2024 03:00,31,31,58,87,,,25-07-2024,25-07-2024
EMEA,30-07-2024 04:00,36,36,58,122,,,25-07-2024,25-07-2024
EMEA,30-07-2024 05:00,119,115,108,162,,,25-07-2024,25-07-2024
EMEA,30-07-2024 06:00,236,236,231,207,,,25-07-2024,25-07-2024
EMEA,30-07-2024 07:00,497,497,435,255,,,25-07-2024,25-07-2024
EMEA,30-07-2024 08:00,549,550,663,301,,,25-07-2024,25-07-2024
EMEA,30-07-2024 09:00,1008,1022,893,344,,,25-07-2024,25-07-2024
EMEA,30-07-2024 10:00,1001,1008,1004,380,,,25-07-2024,25-07-2024
EMEA,30-07-2024 11:00,1115,1116,1003,408,,,25-07-2024,25-07-2024
EMEA,30-07-2024 12:00,1061,1056,1003,426,,,25-07-2024,25-07-2024
EMEA,30-07-2024 13:00,1156,1159,1046,431,,,25-07-2024,25-07-2024
EMEA,30-07-2024 14:00,1189,1183,1094,425,,,25-07-2024,25-07-2024
EMEA,30-07-2024 15:00,963,961,948,408,,,25-07-2024,25-07-2024
EMEA,30-07-2024 16:00,713,712,745,381,,,25-07-2024,25-07-2024
EMEA,30-07-2024 17:00,478,472,506,346,,,25-07-2024,25-07-2024
EMEA,30-07-2024 18:00,322,318,317,306,,,25-07-2024,25-07-2024
EMEA,30-07-2024 19:00,263,264,266,263,,,25-07-2024,25-07-2024
EMEA,30-07-2024 20:00,211,211,207,220,,,25-07-2024,25-07-2024
EMEA,30-07-2024 21:00,172,163,169,179,,,25-07-2024,25-07-2024
EMEA,30-07-2024 22:00,107,108,118,143,,,25-07-2024,25-07-2024
EMEA,30-07-2024 23:00,55,56,87,112,,,25-07-2024,25-07-2024
EMEA,31-07-2024 00:00,47,47,58,22,,,25-07-2024,25-07-2024
EMEA,31-07-2024 01:00,55,56,60,32,,,25-07-2024,25-07-2024
EMEA,31-07-2024 02:00,12,15,61,50,,,25-07-2024,25-07-2024
EMEA,31-07-2024 03:00,28,29,61,76,,,25-07-2024,25-07-2024
EMEA,31-07-2024 04:00,53,50,61,109,,,25-07-2024,25-07-2024
EMEA,31-07-2024 05:00,102,102,107,149,,,25-07-2024,25-07-2024
EMEA,31-07-2024 06:00,251,246,230,192,,,25-07-2024,25-07-2024
EMEA,31-07-2024 07:00,459,460,431,239,,,25-07-2024,25-07-2024
EMEA,31-07-2024 08:00,666,665,659,284,,,25-07-2024,25-07-2024
EMEA,31-07-2024 09:00,846,869,889,326,,,25-07-2024,25-07-2024
EMEA,31-07-2024 10:00,1056,1055,1001,363,,,25-07-2024,25-07-2024
EMEA,31-07-2024 11:00,1157,1162,999,390,,,25-07-2024,25-07-2024
EMEA,31-07-2024 12:00,1022,1030,999,407,,,25-07-2024,25-07-2024
EMEA,31-07-2024 13:00,1065,1062,1042,413,,,25-07-2024,25-07-2024
EMEA,31-07-2024 14:00,1137,1137,1090,407,,,25-07-2024,25-07-2024
EMEA,31-07-2024 15:00,979,969,947,390,,,25-07-2024,25-07-2024
EMEA,31-07-2024 16:00,618,626,744,364,,,25-07-2024,25-07-2024
EMEA,31-07-2024 17:00,476,481,505,329,,,25-07-2024,25-07-2024
EMEA,31-07-2024 18:00,304,309,317,290,,,25-07-2024,25-07-2024
EMEA,31-07-2024 19:00,371,350,265,247,,,25-07-2024,25-07-2024
EMEA,31-07-2024 20:00,242,236,206,205,,,25-07-2024,25-07-2024
EMEA,31-07-2024 21:00,258,270,169,166,,,25-07-2024,25-07-2024
EMEA,31-07-2024 22:00,110,108,117,130,,,25-07-2024,25-07-2024
EMEA,31-07-2024 23:00,143,133,87,101,,,25-07-2024,25-07-2024
EMEA,01-08-2024 00:00,29,31,58,23,,,25-07-2024,25-07-2024
EMEA,01-08-2024 01:00,38,42,60,31,,,25-07-2024,25-07-2024
EMEA,01-08-2024 02:00,45,46,61,46,,,25-07-2024,25-07-2024
APJ,25-07-2024 05:00,643,664,697,422,,,25-07-2024,25-07-2024
APJ,25-07-2024 06:00,795,846,869,415,,,25-07-2024,25-07-2024
APJ,25-07-2024 07:00,943,933,913,398,,,25-07-2024,25-07-2024
APJ,25-07-2024 08:00,1035,1053,913,373,,,25-07-2024,25-07-2024
APJ,25-07-2024 09:00,879,869,792,341,,,25-07-2024,25-07-2024
APJ,25-07-2024 10:00,619,644,575,303,,,25-07-2024,25-07-2024
APJ,25-07-2024 11:00,364,379,427,261,,,25-07-2024,25-07-2024
APJ,25-07-2024 12:00,222,237,312,216,,,25-07-2024,25-07-2024
APJ,25-07-2024 13:00,126,145,222,172,,,25-07-2024,25-07-2024
APJ,25-07-2024 14:00,122,124,150,130,,,25-07-2024,25-07-2024
APJ,25-07-2024 15:00,106,107,98,93,,,25-07-2024,25-07-2024
APJ,25-07-2024 16:00,54,58,73,62,,,25-07-2024,25-07-2024
APJ,25-07-2024 17:00,35,35,42,38,,,25-07-2024,25-07-2024
APJ,25-07-2024 18:00,28,26,42,23,,,25-07-2024,25-07-2024
APJ,25-07-2024 19:00,12,12,35,15,,,25-07-2024,25-07-2024
APJ,25-07-2024 20:00,18,17,35,16,,,25-07-2024,25-07-2024
APJ,25-07-2024 21:00,30,29,35,22,,,25-07-2024,25-07-2024
APJ,25-07-2024 22:00,73,70,56,35,,,25-07-2024,25-07-2024
APJ,25-07-2024 23:00,138,135,96,51,,,25-07-2024,25-07-2024
APJ,26-07-2024 00:00,276,277,306,341,,,25-07-2024,25-07-2024
APJ,26-07-2024 01:00,794,781,686,361,,,25-07-2024,25-07-2024
APJ,26-07-2024 02:00,767,785,835,377,,,25-07-2024,25-07-2024
APJ,26-07-2024 03:00,856,842,819,389,,,25-07-2024,25-07-2024
APJ,26-07-2024 04:00,714,716,758,396,,,25-07-2024,25-07-2024
APJ,26-07-2024 05:00,915,924,876,396,,,25-07-2024,25-07-2024
APJ,26-07-2024 06:00,985,1008,1048,388,,,25-07-2024,25-07-2024
APJ,26-07-2024 07:00,1238,1206,1093,372,,,25-07-2024,25-07-2024
APJ,26-07-2024 08:00,1248,1257,1093,349,,,25-07-2024,25-07-2024
APJ,26-07-2024 09:00,1064,1083,1005,319,,,25-07-2024,25-07-2024
APJ,26-07-2024 10:00,1016,999,820,282,,,25-07-2024,25-07-2024
APJ,26-07-2024 11:00,671,671,653,242,,,25-07-2024,25-07-2024
APJ,26-07-2024 12:00,416,431,484,200,,,25-07-2024,25-07-2024
APJ,26-07-2024 13:00,273,271,359,158,,,25-07-2024,25-07-2024
APJ,26-07-2024 14:00,238,249,280,119,,,25-07-2024,25-07-2024
APJ,26-07-2024 15:00,177,170,169,84,,,25-07-2024,25-07-2024
APJ,26-07-2024 16:00,99,100,144,55,,,25-07-2024,25-07-2024
APJ,26-07-2024 17:00,34,34,91,33,,,25-07-2024,25-07-2024
APJ,26-07-2024 18:00,19,47,84,19,,,25-07-2024,25-07-2024
APJ,26-07-2024 19:00,19,20,72,13,,,25-07-2024,25-07-2024
APJ,26-07-2024 20:00,23,22,72,14,,,25-07-2024,25-07-2024
APJ,26-07-2024 21:00,10,10,72,22,,,25-07-2024,25-07-2024
APJ,26-07-2024 22:00,16,17,81,34,,,25-07-2024,25-07-2024
APJ,26-07-2024 23:00,28,27,107,50,,,25-07-2024,25-07-2024
APJ,27-07-2024 00:00,67,69,55,318,,,25-07-2024,25-07-2024
APJ,27-07-2024 01:00,47,51,80,335,,,25-07-2024,25-07-2024
APJ,27-07-2024 02:00,55,55,90,350,,,25-07-2024,25-07-2024
APJ,27-07-2024 03:00,97,98,74,361,,,25-07-2024,25-07-2024
APJ,27-07-2024 04:00,81,81,51,366,,,25-07-2024,25-07-2024
APJ,27-07-2024 05:00,44,48,80,366,,,25-07-2024,25-07-2024
APJ,27-07-2024 06:00,49,52,83,358,,,25-07-2024,25-07-2024
APJ,27-07-2024 07:00,79,74,103,344,,,25-07-2024,25-07-2024
APJ,27-07-2024 08:00,72,72,111,322,,,25-07-2024,25-07-2024
APJ,27-07-2024 09:00,61,63,77,293,,,25-07-2024,25-07-2024
