TABLE_NAME,COLUMN_NAME,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
UFD_GOLF.AAS_ROLE_PERMISSION,PERMISSION_ID,UFD_GOLF.AAS_PERMISSION,PERMISSION_ID
UFD_GOLF.AAS_ROLE_PERMISSION,ROLE_ID,UFD_GOLF.AAS_ROLE,ROLE_ID
UFD_GOLF.AAS_USER_ROLE,ROLE_ID,UFD_GOLF.AAS_ROLE,ROLE_ID
UFD_GOLF.AAS_USER_ROLE,USER_ID,UFD_GOLF.AAS_USER_CONFIG,USER_ID
SYS.ACCHK_EVENTS,CON_UID,SYS.ACCHK_SESSION,INST_ID
SYS.ACCHK_EVENTS,CON_UID,SYS.ACCHK_SESSION,CON_UID
SYS.ACCHK_EVENTS,CON_UID,SYS.ACCHK_SESSION,SESSION_ID
SYS.ACCHK_EVENTS,CON_UID,SYS.ACCHK_SESSION,SERIAL#
SYS.ACCHK_EVENTS,INST_ID,SYS.ACCHK_SESSION,SERIAL#
SYS.ACCHK_EVENTS,INST_ID,SYS.ACCHK_SESSION,INST_ID
SYS.ACCHK_EVENTS,INST_ID,SYS.ACCHK_SESSION,SESSION_ID
SYS.ACCHK_EVENTS,INST_ID,SYS.ACCHK_SESSION,CON_UID
SYS.ACCHK_EVENTS,SERIAL#,SYS.ACCHK_SESSION,INST_ID
SYS.ACCHK_EVENTS,SERIAL#,SYS.ACCHK_SESSION,SERIAL#
SYS.ACCHK_EVENTS,SERIAL#,SYS.ACCHK_SESSION,SESSION_ID
SYS.ACCHK_EVENTS,SERIAL#,SYS.ACCHK_SESSION,CON_UID
SYS.ACCHK_EVENTS,SESSION_ID,SYS.ACCHK_SESSION,SERIAL#
SYS.ACCHK_EVENTS,SESSION_ID,SYS.ACCHK_SESSION,INST_ID
SYS.ACCHK_EVENTS,SESSION_ID,SYS.ACCHK_SESSION,SESSION_ID
SYS.ACCHK_EVENTS,SESSION_ID,SYS.ACCHK_SESSION,CON_UID
SYS.ACCHK_STATISTICS,CON_UID,SYS.ACCHK_SESSION,INST_ID
SYS.ACCHK_STATISTICS,CON_UID,SYS.ACCHK_SESSION,SESSION_ID
SYS.ACCHK_STATISTICS,CON_UID,SYS.ACCHK_SESSION,SERIAL#
SYS.ACCHK_STATISTICS,CON_UID,SYS.ACCHK_SESSION,CON_UID
SYS.ACCHK_STATISTICS,INST_ID,SYS.ACCHK_SESSION,INST_ID
SYS.ACCHK_STATISTICS,INST_ID,SYS.ACCHK_SESSION,SESSION_ID
SYS.ACCHK_STATISTICS,INST_ID,SYS.ACCHK_SESSION,SERIAL#
SYS.ACCHK_STATISTICS,INST_ID,SYS.ACCHK_SESSION,CON_UID
SYS.ACCHK_STATISTICS,SERIAL#,SYS.ACCHK_SESSION,CON_UID
SYS.ACCHK_STATISTICS,SERIAL#,SYS.ACCHK_SESSION,INST_ID
SYS.ACCHK_STATISTICS,SERIAL#,SYS.ACCHK_SESSION,SESSION_ID
SYS.ACCHK_STATISTICS,SERIAL#,SYS.ACCHK_SESSION,SERIAL#
SYS.ACCHK_STATISTICS,SESSION_ID,SYS.ACCHK_SESSION,SERIAL#
SYS.ACCHK_STATISTICS,SESSION_ID,SYS.ACCHK_SESSION,SESSION_ID
