REGION,FORECAST_DATE,MODEL1,MODEL2,MODEL3,MODEL4,MODEL5,ACTUALORDERUNIT,CREATED_DATE,UPDATED_DATE
DAO,8/21/2024 7:00,156,154,241,187,,,16-08-2024,16-08-2024
EMEA,8/21/2024 7:00,294,293,356,309,,,16-08-2024,16-08-2024
APJ,8/21/2024 7:00,708,722,895,520,,,16-08-2024,16-08-2024
DAO,8/21/2024 6:00,160,167,262,188,,,16-08-2024,16-08-2024
EMEA,8/21/2024 6:00,145,155,172,234,,,16-08-2024,16-08-2024
APJ,8/21/2024 6:00,723,732,854,539,,,16-08-2024,16-08-2024
DAO,8/21/2024 5:00,425,417,282,218,,,16-08-2024,16-08-2024
EMEA,8/21/2024 5:00,63,62,57,166,,,16-08-2024,16-08-2024
APJ,8/21/2024 5:00,661,660,665,545,,,16-08-2024,16-08-2024
DAO,8/21/2024 4:00,256,258,373,272,,,16-08-2024,16-08-2024
EMEA,8/21/2024 4:00,21,21,35,109,,,16-08-2024,16-08-2024
APJ,8/21/2024 4:00,485,496,579,537,,,16-08-2024,16-08-2024
DAO,8/21/2024 3:00,607,602,549,343,,,16-08-2024,16-08-2024
EMEA,8/21/2024 3:00,19,18,35,64,,,16-08-2024,16-08-2024
APJ,8/21/2024 3:00,543,550,654,516,,,16-08-2024,16-08-2024
DAO,8/21/2024 2:00,454,470,666,426,,,16-08-2024,16-08-2024
EMEA,8/21/2024 2:00,23,22,35,34,,,16-08-2024,16-08-2024
APJ,8/21/2024 2:00,475,519,716,486,,,16-08-2024,16-08-2024
DAO,8/21/2024 1:00,579,584,773,513,,,16-08-2024,16-08-2024
EMEA,8/21/2024 1:00,20,20,35,17,,,16-08-2024,16-08-2024
APJ,8/21/2024 1:00,398,402,552,447,,,16-08-2024,16-08-2024
DAO,8/21/2024 0:00,1006,956,1050,599,,,16-08-2024,16-08-2024
EMEA,8/21/2024 0:00,84,101,41,13,,,16-08-2024,16-08-2024
APJ,8/21/2024 0:00,213,221,248,404,,,16-08-2024,16-08-2024
DAO,8/20/2024 23:00,2218,2165,1573,1645,,,16-08-2024,16-08-2024
EMEA,8/20/2024 23:00,91,88,91,113,,,16-08-2024,16-08-2024
APJ,8/20/2024 23:00,73,73,78,52,,,16-08-2024,16-08-2024
DAO,8/20/2024 22:00,2327,2335,2194,1686,,,16-08-2024,16-08-2024
EMEA,8/20/2024 22:00,91,93,86,167,,,16-08-2024,16-08-2024
APJ,8/20/2024 22:00,27,27,38,35,,,16-08-2024,16-08-2024
DAO,8/20/2024 21:00,2522,2523,2811,1705,,,16-08-2024,16-08-2024
EMEA,8/20/2024 21:00,160,161,146,231,,,16-08-2024,16-08-2024
APJ,8/20/2024 21:00,11,11,13,21,,,16-08-2024,16-08-2024
DAO,8/20/2024 20:00,3269,3294,3106,1695,,,16-08-2024,16-08-2024
EMEA,8/20/2024 20:00,206,206,212,303,,,16-08-2024,16-08-2024
APJ,8/20/2024 20:00,8,8,13,14,,,16-08-2024,16-08-2024
DAO,8/20/2024 19:00,3728,3720,3106,1656,,,16-08-2024,16-08-2024
EMEA,8/20/2024 19:00,282,276,273,380,,,16-08-2024,16-08-2024
APJ,8/20/2024 19:00,8,7,13,14,,,16-08-2024,16-08-2024
DAO,8/20/2024 18:00,2337,2399,3035,1585,,,16-08-2024,16-08-2024
EMEA,8/20/2024 18:00,261,266,371,456,,,16-08-2024,16-08-2024
APJ,8/20/2024 18:00,24,22,16,23,,,16-08-2024,16-08-2024
DAO,8/20/2024 17:00,2797,2741,2960,1484,,,16-08-2024,16-08-2024
EMEA,8/20/2024 17:00,363,363,520,528,,,16-08-2024,16-08-2024
APJ,8/20/2024 17:00,44,46,20,43,,,16-08-2024,16-08-2024
DAO,8/20/2024 16:00,2636,2599,2970,1356,,,16-08-2024,16-08-2024
EMEA,8/20/2024 16:00,539,527,723,589,,,16-08-2024,16-08-2024
APJ,8/20/2024 16:00,57,54,44,74,,,16-08-2024,16-08-2024
DAO,8/20/2024 15:00,2459,2443,2890,1208,,,16-08-2024,16-08-2024
EMEA,8/20/2024 15:00,605,604,905,636,,,16-08-2024,16-08-2024
APJ,8/20/2024 15:00,67,66,75,117,,,16-08-2024,16-08-2024
DAO,8/20/2024 14:00,2668,2697,2254,1046,,,16-08-2024,16-08-2024
EMEA,8/20/2024 14:00,862,855,978,665,,,16-08-2024,16-08-2024
APJ,8/20/2024 14:00,131,122,140,169,,,16-08-2024,16-08-2024
DAO,8/20/2024 13:00,1666,1669,1535,879,,,16-08-2024,16-08-2024
EMEA,8/20/2024 13:00,932,928,938,673,,,16-08-2024,16-08-2024
APJ,8/20/2024 13:00,240,239,203,228,,,16-08-2024,16-08-2024
DAO,8/20/2024 12:00,1156,1172,795,716,,,16-08-2024,16-08-2024
EMEA,8/20/2024 12:00,791,790,896,659,,,16-08-2024,16-08-2024
APJ,8/20/2024 12:00,195,196,239,292,,,16-08-2024,16-08-2024
DAO,8/20/2024 11:00,1375,1186,361,567,,,16-08-2024,16-08-2024
EMEA,8/20/2024 11:00,801,789,896,625,,,16-08-2024,16-08-2024
APJ,8/20/2024 11:00,268,251,312,358,,,16-08-2024,16-08-2024
DAO,8/20/2024 10:00,1302,1200,245,438,,,16-08-2024,16-08-2024
EMEA,8/20/2024 10:00,1171,1143,917,572,,,16-08-2024,16-08-2024
APJ,8/20/2024 10:00,743,716,491,421,,,16-08-2024,16-08-2024
DAO,8/20/2024 9:00,144,154,245,337,,,16-08-2024,16-08-2024
EMEA,8/20/2024 9:00,775,772,799,504,,,16-08-2024,16-08-2024
APJ,8/20/2024 9:00,655,656,771,478,,,16-08-2024,16-08-2024
DAO,8/20/2024 8:00,1190,1343,245,268,,,16-08-2024,16-08-2024
EMEA,8/20/2024 8:00,878,924,593,427,,,16-08-2024,16-08-2024
APJ,8/20/2024 8:00,1236,1268,902,526,,,16-08-2024,16-08-2024
DAO,8/20/2024 7:00,495,496,245,231,,,16-08-2024,16-08-2024
EMEA,8/20/2024 7:00,371,370,355,346,,,16-08-2024,16-08-2024
APJ,8/20/2024 7:00,704,684,894,561,,,16-08-2024,16-08-2024
