REGION,PROCESSDAY,PROCESSDAY_HOUR,ORDER_COUNT,FISCALYEAR,FISCALQUARTER,FISCALMONTH,FISCALWEEK,DAYNUM
APJ,20240207,09,508,FY25,Q1,M01,WK01,Wednesday
DAO,20240207,09,81,FY25,Q1,M01,WK01,Wednesday
EMEA,20240207,09,831,FY25,Q1,M01,WK01,Wednesday
EMEA,20240207,10,870,FY25,Q1,M01,WK01,Wednesday
APJ,20240207,10,377,FY25,Q1,M01,WK01,Wednesday
DAO,20240207,10,111,FY25,Q1,M01,WK01,Wednesday
DAO,20240207,11,184,FY25,Q1,M01,WK01,Wednesday
EMEA,20240207,11,897,FY25,Q1,M01,WK01,Wednesday
APJ,20240207,11,264,FY25,Q1,M01,WK01,Wednesday
DAO,20240207,12,729,FY25,Q1,M01,WK01,Wednesday
APJ,20240207,12,146,FY25,Q1,M01,WK01,Wednesday
EMEA,20240207,12,875,FY25,Q1,M01,WK01,Wednesday
APJ,20240207,13,97,FY25,Q1,M01,WK01,Wednesday
EMEA,20240207,13,924,FY25,Q1,M01,WK01,Wednesday
DAO,20240207,13,999,FY25,Q1,M01,WK01,Wednesday
EMEA,20240207,14,1026,FY25,Q1,M01,WK01,Wednesday
APJ,20240207,14,129,FY25,Q1,M01,WK01,Wednesday
DAO,20240207,14,1705,FY25,Q1,M01,WK01,Wednesday
APJ,20240207,15,72,FY25,Q1,M01,WK01,Wednesday
DAO,20240207,15,2989,FY25,Q1,M01,WK01,Wednesday
EMEA,20240207,15,1099,FY25,Q1,M01,WK01,Wednesday
APJ,20240207,16,37,FY25,Q1,M01,WK01,Wednesday
EMEA,20240207,16,830,FY25,Q1,M01,WK01,Wednesday
DAO,20240207,16,2236,FY25,Q1,M01,WK01,Wednesday
EMEA,20240207,17,550,FY25,Q1,M01,WK01,Wednesday
APJ,20240207,17,11,FY25,Q1,M01,WK01,Wednesday
DAO,20240207,17,2897,FY25,Q1,M01,WK01,Wednesday
